Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason
p028,C12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,VX34,1,,
p028,D12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,NIC1667,1,,
p028,E12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,PB420,1,,
p028,F12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,ED3102,1,,
p029,A01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,ECA2666,1,,
p029,B01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,JU3237,1,,
p029,C01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,VX34,1,,
p029,D01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,NIC1667,1,,
p029,E01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,PB420,1,,
p029,F01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,ED3102,1,,
p029,A02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,ECA2666,1,,
p029,B02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,JU3237,1,,
p029,C02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,VX34,1,,
p029,D02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,NIC1667,1,,
p029,E02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,PB420,1,,
p029,F02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,ED3102,1,,
p029,A03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,ECA2666,1,,
p029,B03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,JU3237,1,,
